"","Created.Date","Agency","Agency.Name","Complaint.Type","Descriptor","Incident.Zip","Borough","Latitude","Longitude","year","month"
"2486546","01/26/2015 03:25:04 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10022","MANHATTAN",40.7595778239154,-73.968036302153,2015,1
"2486772","01/26/2015 02:02:52 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10034","MANHATTAN",40.8714612185588,-73.914744184328,2015,1
"2486975","01/26/2015 12:55:50 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10003","MANHATTAN",40.734525188142,-73.9922890187493,2015,1
"2487931","01/26/2015 08:16:14 AM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10003","MANHATTAN",40.7343907026469,-73.9924008920274,2015,1
"2488172","01/26/2015 01:30:29 AM","NYPD","New York City Police Department","Homeless Encampment","N/A","10036","MANHATTAN",40.7575854424021,-73.9821254099568,2015,1
"2491551","01/25/2015 10:51:56 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10075","MANHATTAN",40.7737554458003,-73.9547394429238,2015,1
"2491552","01/25/2015 10:51:52 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10001","MANHATTAN",40.7483392365484,-73.9888299318075,2015,1
"2491563","01/25/2015 10:47:43 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","Status Call","10001","MANHATTAN",40.7483392365484,-73.9888299318075,2015,1
"2491678","01/25/2015 09:19:49 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7348379771553,-73.9907554390676,2015,1
"2491899","01/25/2015 06:57:20 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7443543407198,-73.9962287486085,2015,1
"2491907","01/25/2015 06:53:30 PM","DHS","Operations Unit - Department of Homeless Services","Homeless Person Assistance","No Status Call","10011","MANHATTAN",40.7404431149948,-74.0020244476871,2015,1
"2492012","01/25/2015 05:54:36 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10010","MANHATTAN",40.7402476908895,-73.9885967273711,2015,1
"2492140","01/25/2015 04:34:27 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10003","MANHATTAN",40.7339213750284,-73.9927942489399,2015,1
"2492329","01/25/2015 02:59:55 PM","NYPD","New York City Police Department","Homeless Encampment","N/A","10012","MANHATTAN",40.7270430403022,-73.9931521763246,2015,1
